Rank,Base,Staff ID,Bid Type,Str1,Flt. No.,Lifestyle Table,CP,FO,ALL
CP,BLR,CP_BLR_10180,LifestyleType,Nights At Home,,,,,
CP,BLR,CP_BLR_10291,LifestyleType,Commuter,,,,,
CP,BLR,CP_BLR_10513,PreferredNightstop,BKK,,,,,
CP,BLR,CP_BLR_10624,LifestyleType,Evening Person,,,,,
CP,BLR,CP_BLR_11038,LifestyleType,Evening Person,,,,,
CP,BLR,CP_BLR_11038,PreferredNightstop,JED,,,,,
CP,BLR,CP_BLR_13232,FlightNumber,UK,893,,,,
CP,BLR,CP_BLR_13232,LifestyleType,Evening Person,,,,,
CP,BLR,CP_BLR_13232,PreferredNightstop,BKK,,,,,
CP,BLR,CP_BLR_13650,FlightNumber,UK,893,,,,
CP,BLR,CP_BLR_13650,LifestyleType,Nights At Home,,,,,
CP,BLR,CP_BLR_13874,FlightNumber,UK,123,,,,
CP,BLR,CP_BLR_13874,LifestyleType,Nights At Home,,,,,
CP,BLR,CP_BLR_13875,LifestyleType,Nights At Home,,,,,
CP,BLR,CP_BLR_13956,FlightNumber,UK,816,,,,
CP,BLR,CP_BLR_13956,FlightNumber,UK,866,,,,
CP,BLR,CP_BLR_13956,LifestyleType,Commuter,,,,,
CP,BLR,CP_BLR_13956,PreferredNightstop,JED,,,,,
CP,BLR,CP_BLR_14462,FlightNumber,UK,123,,,,
CP,BLR,CP_BLR_14462,LifestyleType,Nights At Home,,,,,
CP,BLR,CP_BLR_14737,FlightNumber,UK,850,,,,
CP,BLR,CP_BLR_14737,LifestyleType,Evening Person,,,,,
CP,BLR,CP_BLR_14737,PreferredNightstop,BLR,,,,,
CP,BLR,CP_BLR_14745,LifestyleType,Evening Person,,,,,
CP,BLR,CP_BLR_14745,PreferredNightstop,BOM,,,,,
CP,BLR,CP_BLR_14957,LifestyleType,Nights At Home,,,,,
CP,BLR,CP_BLR_15068,FlightNumber,UK,820,,,,
CP,BLR,CP_BLR_15068,FlightNumber,UK,508,,,,
CP,BLR,CP_BLR_15068,LifestyleType,Evening Person,,,,,
CP,BLR,CP_BLR_15068,PreferredNightstop,BOM,,,,,
CP,BLR,CP_BLR_15271,LifestyleType,Commuter,,,,,
CP,BLR,CP_BLR_15271,PreferredNightstop,SIN,,,,,
CP,BLR,CP_BLR_15274,FlightNumber,UK,755,,,,
CP,BLR,CP_BLR_15274,LifestyleType,Nights At Home,,,,,
CP,BLR,CP_BLR_15274,PreferredNightstop,IXC,,,,,
CP,BLR,CP_BLR_15648,FlightNumber,UK,866,,,,
CP,BLR,CP_BLR_15648,LifestyleType,Commuter,,,,,
CP,DEL,CP_DEL_10136,FlightNumber,UK,121,,,,
CP,DEL,CP_DEL_10136,LifestyleType,Nights At Home,,,,,
CP,DEL,CP_DEL_10136,PreferredNightstop,BKK,,,,,
CP,DEL,CP_DEL_10224,LifestyleType,Nights At Home,,,,,
CP,DEL,CP_DEL_10546,FlightNumber,UK,643,,,,
CP,DEL,CP_DEL_10546,LifestyleType,Morning Person,,,,,
CP,DEL,CP_DEL_10549,LifestyleType,Evening Person,,,,,
CP,DEL,CP_DEL_10752,FlightNumber,UK,111,,,,
CP,DEL,CP_DEL_10752,FlightNumber,UK,121,,,,
CP,DEL,CP_DEL_10752,LifestyleType,Commuter,,,,,
CP,DEL,CP_DEL_10752,PreferredNightstop,MRU,,,,,
CP,DEL,CP_DEL_10755,LifestyleType,Morning Person,,,,,
CP,DEL,CP_DEL_10755,PreferredNightstop,BOM,,,,,
CP,DEL,CP_DEL_10757,FlightNumber,UK,111,,,,
CP,DEL,CP_DEL_10757,FlightNumber,UK,111,,,,
CP,DEL,CP_DEL_10757,LifestyleType,Nights At Home,,,,,
CP,DEL,CP_DEL_10757,PreferredNightstop,BLR,,,,,
CP,DEL,CP_DEL_10764,FlightNumber,UK,115,,,,
CP,DEL,CP_DEL_10764,LifestyleType,Commuter,,,,,
CP,DEL,CP_DEL_10764,PreferredNightstop,IXC,,,,,
CP,DEL,CP_DEL_10770,LifestyleType,Evening Person,,,,,
CP,DEL,CP_DEL_10873,LifestyleType,Nights At Home,,,,,
CP,DEL,CP_DEL_10873,PreferredNightstop,DEL,,,,,
CP,DEL,CP_DEL_10876,LifestyleType,Evening Person,,,,,
CP,DEL,CP_DEL_10881,LifestyleType,Nights At Home,,,,,
CP,DEL,CP_DEL_10881,PreferredNightstop,DEL,,,,,
CP,DEL,CP_DEL_10916,LifestyleType,Evening Person,,,,,
CP,DEL,CP_DEL_10995,FlightNumber,UK,112,,,,
CP,DEL,CP_DEL_10995,FlightNumber,UK,122,,,,
CP,DEL,CP_DEL_10995,FlightNumber,UK,122,,,,
CP,DEL,CP_DEL_10995,LifestyleType,Nights At Home,,,,,
CP,DEL,CP_DEL_10995,PreferredNightstop,SIN,,,,,
CP,DEL,CP_DEL_11035,FlightNumber,UK,121,,,,
CP,DEL,CP_DEL_11035,FlightNumber,UK,115,,,,
CP,DEL,CP_DEL_11035,FlightNumber,UK,121,,,,
CP,DEL,CP_DEL_11035,LifestyleType,Nights At Home,,,,,
CP,DEL,CP_DEL_11035,PreferredNightstop,DEL,,,,,
CP,DEL,CP_DEL_11036,LifestyleType,Morning Person,,,,,
CP,DEL,CP_DEL_11039,FlightNumber,UK,121,,,,
CP,DEL,CP_DEL_11039,FlightNumber,UK,115,,,,
CP,DEL,CP_DEL_11039,LifestyleType,Nights At Home,,,,,
CP,DEL,CP_DEL_11039,PreferredNightstop,BKK,,,,,
CP,DEL,CP_DEL_11040,LifestyleType,Evening Person,,,,,
CP,DEL,CP_DEL_11040,PreferredNightstop,SIN,,,,,
CP,DEL,CP_DEL_11068,LifestyleType,Commuter,,,,,
CP,DEL,CP_DEL_11068,PreferredNightstop,BLR,,,,,
CP,DEL,CP_DEL_11115,FlightNumber,UK,121,,,,
CP,DEL,CP_DEL_11115,FlightNumber,UK,111,,,,
CP,DEL,CP_DEL_11115,FlightNumber,UK,121,,,,
CP,DEL,CP_DEL_11115,LifestyleType,Commuter,,,,,
CP,DEL,CP_DEL_11115,PreferredNightstop,MAA,,,,,
CP,DEL,CP_DEL_11118,LifestyleType,Commuter,,,,,
CP,DEL,CP_DEL_11118,PreferredNightstop,BOM,,,,,
CP,DEL,CP_DEL_11119,LifestyleType,Commuter,,,,,
CP,DEL,CP_DEL_11123,FlightNumber,UK,125,,,,
CP,DEL,CP_DEL_11123,FlightNumber,UK,111,,,,
CP,DEL,CP_DEL_11123,LifestyleType,Commuter,,,,,
CP,DEL,CP_DEL_11123,PreferredNightstop,CCU,,,,,
CP,DEL,CP_DEL_11125,FlightNumber,UK,121,,,,
CP,DEL,CP_DEL_11125,LifestyleType,Nights At Home,,,,,
CP,DEL,CP_DEL_11125,PreferredNightstop,BOM,,,,,
CP,DEL,CP_DEL_11199,FlightNumber,UK,111,,,,
CP,DEL,CP_DEL_11199,LifestyleType,Nights At Home,,,,,
CP,DEL,CP_DEL_11199,PreferredNightstop,UDR,,,,,
CP,DEL,CP_DEL_11201,FlightNumber,UK,111,,,,
CP,DEL,CP_DEL_11201,FlightNumber,UK,111,,,,
CP,DEL,CP_DEL_11201,FlightNumber,UK,111,,,,
CP,DEL,CP_DEL_11201,LifestyleType,Nights At Home,,,,,
CP,DEL,CP_DEL_11201,PreferredNightstop,SIN,,,,,
CP,DEL,CP_DEL_11202,LifestyleType,Evening Person,,,,,
CP,DEL,CP_DEL_11206,FlightNumber,UK,111,,,,
CP,DEL,CP_DEL_11206,FlightNumber,UK,121,,,,
CP,DEL,CP_DEL_11206,LifestyleType,Nights At Home,,,,,
CP,DEL,CP_DEL_11206,PreferredNightstop,BOM,,,,,
CP,DEL,CP_DEL_11260,FlightNumber,UK,121,,,,
CP,DEL,CP_DEL_11260,FlightNumber,UK,121,,,,
CP,DEL,CP_DEL_11260,FlightNumber,UK,121,,,,
CP,DEL,CP_DEL_11260,LifestyleType,Commuter,,,,,
CP,DEL,CP_DEL_11260,PreferredNightstop,BOM,,,,,
CP,DEL,CP_DEL_11312,LifestyleType,Commuter,,,,,
